REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,WEALTH_QUINTILE,Wealth Quintile,SERIES_NAME,Series Name,SERIES_YEAR,Series Year,REGIONAL_GROUP,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,SERIES_CATEGORY,Series Category,SERIES_TYPE,Series Type,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,Age Group of Women,TIME_SINCE_FIRST_BIRTH,Time Since First Birth,DEFINITION,INTERVAL,SERIES_METHOD,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,MODEL,Model Used,country
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1990-06,45.5404544953081,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1990.5,NA,NA,NA,NA,NA,1,NA,NA,43.7824259521768,47.6173520791489,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1991-06,45.1683154135708,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1991.5,NA,NA,NA,NA,NA,1,NA,NA,43.4130534077822,47.1806838615121,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1992-06,44.8322143420886,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1992.5,NA,NA,NA,NA,NA,1,NA,NA,43.0843462967816,46.7981078739128,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1993-06,44.3685534702728,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1993.5,NA,NA,NA,NA,NA,1,NA,NA,42.6533482286167,46.3044173969289,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1994-06,44.0345766123764,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1994.5,NA,NA,NA,NA,NA,1,NA,NA,42.3785358680046,45.9489815531886,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1995-06,43.408195175001,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1995.5,NA,NA,NA,NA,NA,1,NA,NA,41.7706726555603,45.2753771937625,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1996-06,42.8784842889431,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1996.5,NA,NA,NA,NA,NA,1,NA,NA,41.2546395664985,44.7308916678651,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1997-06,42.2721498981432,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1997.5,NA,NA,NA,NA,NA,1,NA,NA,40.7038323307803,44.0792701733351,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1998-06,41.5866447895057,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1998.5,NA,NA,NA,NA,NA,1,NA,NA,40.0657322562588,43.3445588321524,NA,NA,NA,NA,neonatal_mortality_rate
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,NA,NA,1999-06,40.7447478503862,NA,NA,NA,NA,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,1999.5,NA,NA,NA,NA,NA,1,NA,NA,39.2377777090615,42.4661091068196,NA,NA,NA,NA,neonatal_mortality_rate
